Timestamp,Date of Visit,First Name,Last Name,Grade Level,Escorting Staff,*Zones of Regulation Check* Entry,*Zones of Regulation Check* Exit,Time in,Time Out
2023/11/29 12:58:31 PM CST,2023-11-09,Roman,Montgomery,3,Rachelle,Red,Green,11:45,11:55
2023/11/29 1:39:08 PM CST,2023-11-09,Talia,Montgomery,5,CC/SEA,Yellow,Green,13:05,13:15
2023/11/29 1:39:51 PM CST,2023-11-09,Amara,Tate,5,Maggie,Yellow,N/A,12:59,13:04
2023/11/29 1:41:09 PM CST,2023-11-09,Blaise,Sanchez,K,Specials,Blue,Yellow,13:39,13:46
2023/11/29 1:43:11 PM CST,2023-11-10,Thaddeus,Flynn,4,Other,Red,Green,8:10,8:30
2023/11/29 1:43:43 PM CST,2023-11-10,Caelum,Sinclair,5,Marisa,Yellow,Yellow,8:44,8:50
2023/11/29 1:44:15 PM CST,2023-11-10,Leona,Chambers,5,Maggie,Yellow,Yellow,8:44,8:50
2023/11/29 1:46:06 PM CST,2023-11-10,Levi,Barrett,1,Dale,Blue,Green,9:45,10:13
2023/11/29 1:47:08 PM CST,2023-11-10,Jocelyn,Jackson,4,Kristen,Red,Yellow,12:26,12:54
2023/11/29 1:47:46 PM CST,2023-11-10,Amara,Tate,5,CC/SEA,Red,N/A,12:35,12:53
2023/11/29 1:48:54 PM CST,2023-11-10,Caspian,Everett,2,Jannet,Green,Green,13:00,13:08
2023/11/29 1:49:30 PM CST,2023-11-10,Jocelyn,Jackson,4,Dasha,Yellow,Yellow,13:26,13:50
2023/11/29 1:51:44 PM CST,2023-11-13,Dominic,Rivera,1,CC/SEA,Red,Yellow,9:11,9:31
2023/11/29 1:52:44 PM CST,2023-11-13,Emery,Hayes,4,Warren,Yellow,Green,10:38,10:59
2023/11/29 1:53:28 PM CST,2023-11-13,Tyrell,Harper,4,Maggie,Yellow,Green,10:38,10:59
2023/12/20 1:03:30 PM CST,2023-12-01,Tyrell,Harper,4,Marquita,Red,Yellow,7:58,8:10
2023/12/20 1:04:45 PM CST,2023-12-01,Jayden,Montgomery,4,Kyla,Yellow,Green,10:24,10:40
2023/12/20 1:05:18 PM CST,2023-12-01,Jocelyn,Jackson,4,Kyla,Red,Red,10:46,10:52
2023/12/20 1:06:00 PM CST,2023-12-01,Amara,Tate,5,Danny,Red,Green,14:10,14:24
2023/12/20 1:07:37 PM CST,2023-12-04,Azariah,Campbell,4,CC/SEA,Yellow,Green,8:46,8:59
2023/12/20 1:08:19 PM CST,2023-12-04,Ruth,Fuentes,1,Maggie,Yellow,Yellow,9:39,9:51
2023/12/20 1:09:01 PM CST,2023-12-04,Calyx,Sheridan,K,Marisa,Red,Green,10:55,11:10
2023/12/20 1:09:49 PM CST,2023-12-04,Mira,Flynn,3,Maggie,Yellow,Green,12:09,12:24
2023/12/20 1:10:36 PM CST,2023-12-05,Maria,Rivers,2,Maggie,Red,Green,8:31,8:44
2023/12/20 1:11:28 PM CST,2023-12-05,Ryder,Locke,K,Marisa,Red,Yellow,11:25,11:40
2023/12/20 1:12:33 PM CST,2023-12-05,Blaise,Sanchez,K,Kim,Red,Green,13:48,13:53
2023/12/20 1:13:29 PM CST,2023-12-05,Antonius,Hayes,3,Maria,Green,Green,13:57,14:18
2023/12/20 1:14:26 PM CST,2023-12-06,Levi,Barrett,1,Danny,Green,Green,8:30,8:50
2023/12/20 1:15:01 PM CST,2023-12-06,Jocelyn,Jackson,4,Rachelle,Red,Yellow,10:38,10:52
2023/12/20 1:15:32 PM CST,2023-12-06,Caspian,Everett,2,Dale,Red,Green,11:05,11:25
2023/12/20 1:16:05 PM CST,2023-12-06,Caelum,Sinclair,5,Rachelle,Yellow,Green,13:40,13:55
2023/12/20 1:17:28 PM CST,2023-12-06,Zephyr,Vega,5,Maggie,Yellow,Green,13:49,14:02
2023/12/20 1:18:10 PM CST,2023-12-06,Jayden,Montgomery,4,Rachelle,Red,Blue,13:51,14:05
2023/12/20 1:18:45 PM CST,2023-12-07,Dominic,Rivera,1,Danny,Yellow,Green,8:46,8:55
2024/02/05 1:51:33 PM CST,2024-01-03,Dorian,Bennett,4,Danny,Blue,Blue,10:12,10:18
2024/02/05 1:52:33 PM CST,2024-01-03,Leona,Chambers,5,Dasha,Red,Green,10:32,10:37
2024/02/05 1:54:00 PM CST,2024-01-03,Kyler,Harrison,5,Maggie,Yellow,Yellow,11:49,12:09
2024/02/05 1:55:50 PM CST,2024-01-03,Caelum,Sinclair,5,Maggie,Yellow,Yellow,11:50,12:09
2024/02/05 1:56:27 PM CST,2024-01-03,Zander,Montgomery,5,Dale,Blue,N/A,13:07,13:21
2024/02/05 1:58:13 PM CST,2024-01-03,Seraphina,Rivers,5,Dale,Red,Red,13:07,13:21
2024/02/05 1:59:41 PM CST,2024-01-03,Leona,Chambers,5,Maggie,Red,Red,13:59,14:20
2024/02/05 2:00:18 PM CST,2024-01-04,Seraphina,Rivers,5,Nora,Blue,Blue,10:10,10:18
2024/02/05 2:01:04 PM CST,2024-01-04,Caelum,Sinclair,5,Maggie,Red,Red,10:51,11:00
2024/02/05 2:01:50 PM CST,2024-01-05,Calyx,Sheridan,K,Danny,Green,Green,8:04,8:24
2024/02/05 2:03:19 PM CST,2024-01-05,Zander,Montgomery,5,Nora,Yellow,Green,8:39,8:53
2024/02/05 2:04:18 PM CST,2024-01-05,Roman,Montgomery,3,Danny,Blue,Green,9:52,10:03
2024/02/05 2:06:23 PM CST,2024-01-05,Brielle,Ramirez,2,Danny,Green,Blue,12:05,12:17
2024/02/05 2:08:01 PM CST,2024-01-05,Dorian,Bennett,4,Marquita,Red,Yellow,12:53,13:00
2024/02/05 2:09:01 PM CST,2024-01-05,Seraphina,Rivers,5,Other,Red,Red,13:17,13:28
2024/02/05 2:10:26 PM CST,2024-01-05,Ryder,Locke,K,Nora,Yellow,Green,14:00,14:12
2024/02/05 2:13:09 PM CST,2024-01-08,Emery,Hayes,4,CC/SEA,Yellow,Green,7:38,8:35
2024/02/05 2:15:41 PM CST,2024-01-08,Caelum,Sinclair,5,Maggie,Blue,Blue,8:07,8:25
2024/02/05 2:18:17 PM CST,2024-01-08,Zephyr,Vega,5,Marquita,Blue,Green,8:33,8:50
2024/02/05 2:20:03 PM CST,2024-01-08,Caelum,Sinclair,5,Maggie,Yellow,Yellow,8:50,9:13
2024/02/05 2:24:05 PM CST,2024-01-08,Zander,Montgomery,5,Maggie,Blue,Blue,10:02,10:15
2024/02/05 2:24:49 PM CST,2024-01-08,Calyx,Sheridan,K,Nora,Yellow,Green,9:45,9:53
2024/02/05 2:26:31 PM CST,2024-01-08,Tyrell,Harper,4,Maria,Blue,Green,10:58,11:03
2024/02/05 2:29:25 PM CST,2024-01-08,Roman,Montgomery,3,Danny,Blue,Green,11:35,12:00
2024/02/05 2:30:28 PM CST,2024-01-08,Emery,Hayes,4,Danny,Blue,Blue,11:35,12:00
2024/02/05 2:33:07 PM CST,2024-01-08,Caelum,Sinclair,5,Maggie,Red,Yellow,12:51,13:08
2024/02/05 2:36:02 PM CST,2024-01-10,Brielle,Ramirez,2,Danny,Blue,Blue,7:40,7:50
2024/02/06 9:35:22 AM CST,2024-01-10,Ryder,Locke,K,Dale,N/A,N/A,8:25,8:35
2024/02/06 9:36:12 AM CST,2024-01-10,Leona,Chambers,5,Danny,Blue,Green,11:57,12:10
2024/02/06 9:36:47 AM CST,2024-01-10,Dorian,Bennett,4,Maggie,Red,Green,12:44,12:59
2024/03/04 9:54:06 AM EST,2024-02-01,Maria,Rivers,2,Marquita,Yellow,Blue,11:13,11:25
2024/03/04 9:55:17 AM EST,2024-02-01,Calyx,Sheridan,K,CC/SEA,Red,Blue,11:40,11:52
2024/03/04 9:57:10 AM EST,2024-02-01,Mira,Flynn,3,Maria,N/A,N/A,13:16,13:24
2024/03/04 9:58:30 AM EST,2024-02-01,Leona,Chambers,5,Dasha,Yellow,Blue,8:05,8:13
2024/03/04 10:07:01 AM EST,2024-02-02,Dominic,Rivera,1,Danny,Yellow,Blue,8:05,8:13
2024/03/04 10:08:16 AM EST,2024-02-02,Talia,Montgomery,5,Maggie,Yellow,Yellow,8:18,8:33
2024/03/04 10:10:08 AM EST,2024-02-02,Ryder,Locke,K,CC/SEA,Red,Green,8:43,9:01
2024/03/04 10:11:10 AM EST,2024-02-02,Seraphina,Rivers,5,Maggie,Yellow,Yellow,10:14,10:26
2024/03/04 10:13:00 AM EST,2024-02-02,Jayden,Montgomery,4,Marisa,Yellow,Yellow,10:40,10:50
2024/03/04 10:14:11 AM EST,2024-02-02,Jimmy,Falcon,2,Marquita,Red,Green,10:55,11:01
2024/03/04 10:16:12 AM EST,2024-02-02,Calyx,Sheridan,K,CC/SEA,Red,Green,11:00,11:11
2024/03/04 10:19:25 AM EST,2024-02-01,Caspian,Everett,2,Other,Green,Green,11:15,11:30
2024/03/04 10:21:02 AM EST,2024-02-01,Dominic,Rivera,1,CC/SEA,Yellow,Green,11:35,11:57
2024/03/04 10:21:52 AM EST,2024-02-02,Levi,Barrett,1,Warren,Yellow,Yellow,13:03,13:19
2024/03/04 10:22:40 AM EST,2024-02-02,Talia,Montgomery,5,Warren,Blue,Green,13:03,13:19
2024/03/04 10:25:42 AM EST,2024-02-05,Seraphina,Rivers,5,Maggie,Red,Green,7:56,8:08
2024/03/04 10:26:24 AM EST,2024-02-05,Jocelyn,Jackson,4,CC/SEA,Green,N/A,8:12,8:34
2024/03/04 10:28:56 AM EST,2024-02-05,Blaise,Sanchez,K,CC/SEA,Green,Green,11:31,11:51
2024/03/04 10:30:36 AM EST,2024-02-05,Maria,Rivers,2,Dale,Yellow,Green,11:45,11:50
2024/03/04 10:31:41 AM EST,2024-02-05,Jocelyn,Jackson,4,Danny,Yellow,Green,12:33,12:43
2024/03/04 10:32:20 AM EST,2024-02-06,Ruth,Fuentes,1,Warren,Green,Green,8:00,8:05
2024/03/04 10:33:38 AM EST,2024-02-06,Ryder,Locke,K,CC/SEA,Green,Green,8:29,8:54
2024/03/04 10:34:44 AM EST,2024-02-06,Jocelyn,Jackson,4,Marquita,Blue,Blue,8:31,8:56
2024/03/04 1:33:36 PM EST,2024-02-06,Azariah,Campbell,4,Maggie,Yellow,Green,8:42,9:00
2024/03/04 1:34:32 PM EST,2024-02-06,Levi,Barrett,1,Rachelle,Blue,Red,10:01,10:11
2024/03/04 1:37:14 PM EST,2024-02-06,Dominic,Rivera,1,Rachelle,Red,Blue,10:01,10:11
2024/03/04 1:37:47 PM EST,2024-02-06,Brielle,Ramirez,2,Marquita,Blue,Green,10:20,10:28
2024/03/04 1:38:29 PM EST,2024-02-06,Jayden,Montgomery,4,Maggie,Yellow,Yellow,10:31,10:41
2024/03/04 1:39:23 PM EST,2024-02-06,Talia,Montgomery,5,Maggie,Green,Green,12:13,12:26
2024/03/04 1:40:35 PM EST,2024-02-06,Seraphina,Rivers,5,Dasha,Blue,Green,13:00,13:12
2024/03/04 1:41:39 PM EST,2024-02-06,Caspian,Everett,2,Cynthia,Blue,Green,13:28,13:35
2024/03/04 2:51:37 PM EST,2024-02-06,Seraphina,Rivers,5,Dasha,Red,Green,13:43,13:54
2024/03/04 2:54:50 PM EST,2024-02-06,Talia,Montgomery,5,Dasha,Yellow,Green,13:45,13:54
2024/03/04 3:01:59 PM EST,2024-02-06,Ruth,Fuentes,1,CC/SEA,Yellow,Green,14:20,14:28
2024/03/05 8:33:34 AM EST,2024-02-07,Azariah,Campbell,4,CC/SEA,Blue,Yellow,8:51,9:25
2024/03/05 8:34:23 AM EST,2024-02-07,Maria,Rivers,2,Danny,Blue,Green,9:09,9:28
2024/03/05 8:34:58 AM EST,2024-02-07,Caspian,Everett,2,Danny,Blue,Green,11:25,11:40
2024/03/05 8:35:31 AM EST,2024-02-07,Brielle,Ramirez,2,Danny,Blue,Green,11:25,11:40
2024/03/05 8:36:35 AM EST,2024-02-07,Maria,Rivers,2,Danny,Blue,Green,11:25,11:40
2024/03/05 8:38:44 AM EST,2024-02-07,Leona,Chambers,5,Dasha,Green,Green,12:20,12:38
2024/03/05 8:57:36 AM EST,2024-02-07,Jayden,Montgomery,4,Danny,Green,Green,12:20,12:38
2024/03/05 8:59:23 AM EST,2024-02-07,Jocelyn,Jackson,4,Maggie,Yellow,Yellow,13:06,13:20
2024/03/05 9:12:08 AM EST,2024-02-07,Calyx,Sheridan,K,CC/SEA,Yellow,Yellow,13:55,14:04
2024/03/05 9:12:43 AM EST,2024-02-08,Dominic,Rivera,1,CC/SEA,Yellow,N/A,7:58,8:12
2024/03/05 9:15:00 AM EST,2024-02-08,Jayden,Montgomery,4,Kyla,Red,Green,8:54,9:08
2024/03/05 9:16:01 AM EST,2024-02-08,Levi,Barrett,1,CC/SEA,Red,N/A,9:15,9:20
2024/03/05 9:16:28 AM EST,2024-02-08,Jocelyn,Jackson,4,Danny,Green,Green,9:19,9:50
2024/03/05 9:17:08 AM EST,2024-02-08,Caspian,Everett,2,Cynthia,Blue,Green,9:43,9:53
2024/03/05 9:17:47 AM EST,2024-02-08,Brielle,Ramirez,2,Cynthia,Green,Green,9:43,9:53
2024/03/05 9:19:52 AM EST,2024-02-08,Talia,Montgomery,5,Rachelle,Blue,Blue,10:26,10:33
2024/03/05 9:20:55 AM EST,2024-02-08,Blaise,Sanchez,K,CC/SEA,Red,Green,11:30,11:40
2024/03/05 9:21:49 AM EST,2024-02-08,Jayden,Montgomery,4,CC/SEA,Yellow,Green,12:22,12:34
2024/03/05 9:22:19 AM EST,2024-02-08,Jocelyn,Jackson,4,Danny,Red,Yellow,12:35,12:50
2024/03/05 9:22:48 AM EST,2024-02-08,Maria,Rivers,2,Dale,Green,Green,12:38,12:46
2024/03/05 9:24:14 AM EST,2024-02-08,Azariah,Campbell,4,Kyla,Yellow,Green,13:18,13:29
2024/03/05 9:25:02 AM EST,2024-02-08,Leona,Chambers,5,Kyla,Yellow,Green,13:18,13:29
2024/03/13 3:38:15 PM EST,2024-03-01,Elias,Chase,4,CC/SEA,Yellow,Yellow,7:36,7:46
2024/03/13 3:38:52 PM EST,2024-03-01,Jimmy,Falcon,2,Danny,Blue,Blue,7:40,7:46
2024/03/13 3:40:11 PM EST,2024-03-01,Roman,Montgomery,3,Marquita,Yellow,Green,8:46,8:59
2024/03/13 3:40:46 PM EST,2024-03-01,Maria,Rivers,2,Warren,Green,Green,9:39,9:47
2024/03/13 3:41:49 PM EST,2024-03-01,Amara,Tate,5,Maggie,Yellow,Green,9:43,9:48
2024/03/13 3:42:47 PM EST,2024-03-01,Juniper,Olsen,4,Maggie,Red,Green,10:39,10:56
2024/03/13 3:43:24 PM EST,2024-03-01,Kaelan,Hunter,4,Maggie,Yellow,Yellow,10:38,10:56
2024/03/13 3:43:57 PM EST,2024-03-01,Dorian,Bennett,4,Kyla,Blue,Blue,11:02,11:17
2024/03/13 3:44:59 PM EST,2024-03-01,Caspian,Everett,2,Danny,Blue,Green,11:14,11:30
2024/03/13 3:45:41 PM EST,2024-03-01,Lyra,Summers,4,Danny,Blue,Green,11:27,11:53
2024/03/13 3:46:22 PM EST,2024-03-01,Ruth,Fuentes,1,Danny,Yellow,Green,12:31,12:47
2024/03/13 3:47:03 PM EST,2024-03-01,Levi,Barrett,1,CC/SEA,Yellow,Green,12:45,13:00
2024/03/13 3:48:14 PM EST,2024-03-01,Ruth,Fuentes,1,Jannet,Red,Green,12:47,12:58
2024/03/13 3:49:59 PM EST,2024-03-04,Ruth,Fuentes,1,Cynthia,Blue,Yellow,7:48,7:58
2024/03/13 3:51:09 PM EST,2024-03-04,Elias,Chase,4,Danny,Yellow,Yellow,8:40,8:59
2024/03/13 3:51:48 PM EST,2024-03-04,Caspian,Everett,2,Warren,Yellow,Yellow,9:20,9:30
2024/03/13 3:52:32 PM EST,2024-03-04,Mira,Flynn,3,Marquita,Yellow,Green,9:35,9:53
2024/03/13 3:53:17 PM EST,2024-03-04,Antonius,Hayes,3,Marquita,Red,Green,9:40,9:57
2024/03/13 3:53:57 PM EST,2024-03-04,Maria,Rivers,2,Danny,Green,Green,9:53,10:03
2024/03/13 3:54:40 PM EST,2024-03-04,Roman,Montgomery,3,Marquita,Yellow,Green,9:59,10:13
2024/03/15 1:52:09 PM EST,2024-03-04,Jimmy,Falcon,2,Other,Yellow,Green,11:10,11:21
2024/03/15 1:52:44 PM EST,2024-03-04,Dominic,Rivera,1,Cynthia,Red,Yellow,11:28,11:52
2024/03/15 1:55:29 PM EST,2024-03-04,Lyra,Summers,4,Marisa,Yellow,Green,12:15,12:25
2024/03/15 1:56:09 PM EST,2024-03-04,Brielle,Ramirez,2,Cynthia,Blue,Green,12:24,12:34
2024/03/15 1:56:50 PM EST,2024-03-04,Jocelyn,Jackson,4,Danny,Green,Yellow,12:50,13:08
2024/03/15 1:57:33 PM EST,2024-03-05,Caspian,Everett,2,Marquita,Blue,Green,7:44,8:14
2024/03/15 1:58:36 PM EST,2024-03-05,Brielle,Ramirez,2,Dale,Red,Green,9:30,9:40
2024/03/18 1:45:18 PM EST,2024-03-05,Levi,Barrett,1,Other,Yellow,N/A,9:11,9:23
2024/03/18 1:45:56 PM EST,2024-03-05,Calyx,Sheridan,K,Warren,Yellow,Red,9:23,9:30
2024/03/18 1:46:31 PM EST,2024-03-05,Maria,Rivers,2,Kyla,Blue,Blue,9:40,9:50
2024/03/18 1:47:02 PM EST,2024-03-05,Caspian,Everett,2,Danny,Blue,Blue,10:04,10:11
2024/03/18 1:47:45 PM EST,2024-03-05,Dominic,Rivera,1,Marquita,Yellow,Green,10:10,10:21
2024/03/18 1:48:27 PM EST,2024-03-05,Emery,Hayes,4,Maggie,Red,Red,11:00,11:12
2024/03/18 1:49:17 PM EST,2024-03-05,Zander,Montgomery,5,Maggie,Red,Red,11:01,11:09
2024/03/18 1:49:50 PM EST,2024-03-05,Jocelyn,Jackson,4,Maggie,Red,Red,11:05,11:12
2024/03/18 1:50:42 PM EST,2024-03-05,Ryder,Locke,K,Marisa,Yellow,Green,11:45,11:55
2024/03/18 1:51:37 PM EST,2024-03-05,Jimmy,Falcon,2,Dale,Blue,Green,11:43,11:47
2024/03/18 1:52:13 PM EST,2024-03-05,Antonius,Hayes,3,Kyla,Red,Green,11:45,0:11
2024/03/18 1:53:32 PM EST,2024-03-05,Kaelan,Hunter,4,Danny,Green,Green,12:15,12:27
2024/03/18 1:54:18 PM EST,2024-03-05,Juniper,Olsen,4,Danny,Green,Green,12:15,12:27
2024/03/18 1:55:06 PM EST,2024-03-05,Elias,Chase,4,Danny,Red,Blue,12:22,12:29
2024/03/18 1:56:44 PM EST,2024-03-05,Dorian,Bennett,4,Other,Red,Yellow,12:47,12:53
2024/03/18 1:59:25 PM EST,2024-03-05,Mira,Flynn,3,Maria,Green,Green,13:07,13:15
2024/03/18 2:00:29 PM EST,2024-03-05,Roman,Montgomery,3,Maggie,Blue,N/A,13:21,13:37
2024/03/19 3:54:52 PM EST,2024-03-05,Dominic,Rivera,1,Danny,Yellow,Red,13:21,13:50
2024/03/19 3:56:26 PM EST,2024-03-05,Lyra,Summers,4,CC/SEA,Yellow,Green,13:47,13:57
2024/03/19 3:56:56 PM EST,2024-03-05,Maria,Rivers,2,Danny,Blue,Green,7:40,7:47
2024/03/19 3:57:32 PM EST,2024-03-06,Talia,Montgomery,5,Dasha,Red,Yellow,7:53,7:56
2024/03/19 3:58:04 PM EST,2024-03-06,Brielle,Ramirez,2,Kyla,Blue,Green,8:07,8:13
2024/03/19 3:58:44 PM EST,2024-03-06,Blaise,Sanchez,K,Dasha,Yellow,Green,8:09,8:22
2024/03/19 3:59:18 PM EST,2024-03-06,Juniper,Olsen,4,Cynthia,Red,Yellow,8:18,8:25
2024/03/19 4:00:51 PM EST,2024-03-06,Ryder,Locke,K,Cynthia,Green,Green,8:30,8:55
2024/03/19 4:01:25 PM EST,2024-03-06,Elias,Chase,4,CC/SEA,Red,Yellow,8:50,9:03
2024/03/19 4:03:43 PM EST,2024-03-06,Levi,Barrett,1,Cynthia,Blue,Green,8:57,9:12
2024/03/19 4:05:27 PM EST,2024-03-06,Dorian,Bennett,4,Kristen,Yellow,Green,9:13,9:33
2024/03/19 4:06:01 PM EST,2024-03-06,Caspian,Everett,2,Warren,Green,Yellow,9:36,9:43
2024/03/19 4:08:06 PM EST,2024-03-06,Antonius,Hayes,3,Maria,Yellow,Red,9:37,9:51
2024/03/19 4:10:23 PM EST,2024-03-06,Calyx,Sheridan,K,CC/SEA,Red,Green,11:20,12:00
2024/03/19 4:10:56 PM EST,2024-03-06,Ruth,Fuentes,1,Marisa,Yellow,Green,11:50,12:00
2024/03/19 4:12:28 PM EST,2024-03-06,Talia,Montgomery,5,Maggie,Yellow,N/A,12:09,12:32
2024/03/19 4:13:24 PM EST,2024-03-06,Jocelyn,Jackson,4,CC/SEA,Green,Green,12:15,12:20
2024/03/19 4:14:29 PM EST,2024-03-06,Jimmy,Falcon,2,Danny,Blue,Green,12:05,12:25
2024/03/19 4:15:35 PM EST,2024-03-06,Caspian,Everett,2,Danny,Green,Green,12:05,12:25
2024/03/19 4:16:56 PM EST,2024-03-06,Dominic,Rivera,1,Kim,Yellow,Green,12:38,12:51
2024/03/19 4:17:46 PM EST,2024-03-06,Maria,Rivers,2,Danny,Yellow,Green,12:05,12:45
